"","r","$\rho$","r","$\rho$","r","$\rho$","Avg"
"Human",1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1
"WBSM_AncSPLRada_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.772038051614535,0.791451303235109,0.773964251282102,0.709471204182342,0.785123790504153,0.764630416539944,0.765560518065751
"[SW]  WBSM_AncSPLRada_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0.742943362081757,0.768594882273956,0.762006321074172,0.699681064980412,0.786253089481132,0.755037613872411,0.751798551964397
"[SW]  WBSM_AncSPLRada_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.737879989132458,0.769524465093823,0.763245270991142,0.700453222512409,0.786916697629777,0.753234844501803,0.751193306698466
"[TOK]  WBSM_AncSPLRada_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.722510148945226,0.765093742521855,0.752939528019729,0.701619765784869,0.7261156303774,0.723227361949527,0.731411795979487
"[CF]  WBSM_AncSPLRada_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.693611443779544,0.73348149043175,0.741460139799512,0.690995030336237,0.719753620768897,0.712392865205158,0.714794165919916
"[SW]  WBSM_AncSPLRada_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.687037870256276,0.730117676493498,0.74167434109068,0.691897725967401,0.720941938436296,0.71455671843793,0.713859991155171
"[CF]  WBSM_AncSPLRada_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.687037870256276,0.730117676493498,0.74167434109068,0.691897725967401,0.720941938436296,0.71455671843793,0.713859991155171
"[TOK]  WBSM_AncSPLRada_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.687037870256276,0.730117676493498,0.74167434109068,0.691897725967401,0.720941938436296,0.71455671843793,0.713859991155171
"[LC]  WBSM_AncSPLRada_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.687037870256276,0.730117676493498,0.74167434109068,0.691897725967401,0.720941938436296,0.71455671843793,0.713859991155171
"[TOK]  WBSM_AncSPLRada_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.69001049602754,0.732931309696019,0.721992946167525,0.676535130825691,0.720941938436296,0.71455671843793,0.709027989274613
"[CF]  WBSM_AncSPLRada_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.673005897546998,0.7174324504568,0.741068898139438,0.692018547790643,0.685383424814369,0.686910542200935,0.698786619856157
"[LC]  WBSM_AncSPLRada_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.645585268646418,0.685477191504232,0.702802495127076,0.657387587762314,0.712001028761748,0.70186299938177,0.683721995723597
"[CF]  WBSM_AncSPLRada_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.609064483621784,0.641028903580876,0.701345702726326,0.662489354565378,0.692119553021483,0.688414399090349,0.665421349551964
"[TOK]  WBSM_AncSPLCosineNormWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.569014392143787,0.607062025091143,0.687877867324466,0.644677043794631,0.61507553385333,0.60146050369809,0.620397258162294
"WBSM_AncSPLCosineNormWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.571037580699279,0.565880363847489,0.705291403594683,0.651023599830382,0.637231544138083,0.590374230610901,0.61947591332917
"[CF]  WBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.547712454471912,0.60557403937915,0.675292321998543,0.621660038769044,0.614126689640083,0.594551861298944,0.608913263198563
"[SW]  WBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0.538122656660746,0.559898299831259,0.68857246563835,0.630182948915362,0.641114564519224,0.590120523404153,0.607147053941531
"[SW]  WBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.541303282988942,0.598772679586276,0.673450234717862,0.624662792558835,0.613845401989476,0.593755367039297,0.606787499826384
"[CF]  WBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.541303282988942,0.598772679586276,0.673450234717862,0.624662792558835,0.613845401989476,0.593755367039297,0.606787499826384
"[TOK]  WBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.541303282988942,0.598772679586276,0.673450234717862,0.624662792558835,0.613845401989476,0.593755367039297,0.606787499826384
"[LC]  WBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.541303282988942,0.598772679586276,0.673450234717862,0.624662792558835,0.613845401989476,0.593755367039297,0.606787499826384
"[SW]  WBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.535286402886689,0.555807845181691,0.690277105695519,0.632641442358389,0.638300608269758,0.592198970905591,0.606648025850187
