"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"LiMixed...CTakes",0.82,0.828,0.824,0.769,0.71,0.739,0.793,0.808,0.8,0.788
"LiMixed",0.814,0.823,0.819,0.77,0.709,0.738,0.795,0.805,0.8,0.786
"UBSM_AncSPLRada",0.796,0.812,0.804,0.764,0.7,0.73,0.774,0.789,0.781,0.772
"BlockDistance",0.798,0.818,0.808,0.731,0.683,0.706,0.797,0.801,0.799,0.771
"WBSM_AncSPLRada",0.772,0.791,0.782,0.774,0.709,0.74,0.785,0.765,0.775,0.766
"bio_embedding_intrinsic",0.831,0.806,0.818,0.766,0.686,0.724,0.757,0.735,0.746,0.763
"Sent2vec_BioSentVec_PubMed_MIMICIII.bigram_d700",0.797,0.767,0.782,0.763,0.638,0.695,0.791,0.821,0.806,0.761
"PubMed_SkipGramNegSampling",0.771,0.763,0.767,0.764,0.641,0.697,0.799,0.835,0.817,0.76
"Jaccard",0.782,0.815,0.798,0.706,0.68,0.693,0.759,0.797,0.777,0.756
"bioc_skipgram_defaultchar_Min",0.814,0.777,0.795,0.758,0.66,0.706,0.761,0.76,0.76,0.754
"Qgram",0.752,0.773,0.763,0.701,0.674,0.687,0.763,0.766,0.764,0.738
"bioconceptvec_word2vec_skipgram",0.742,0.743,0.742,0.751,0.652,0.698,0.738,0.8,0.768,0.736
"OverlapCoefficient",0.782,0.795,0.788,0.696,0.564,0.623,0.781,0.793,0.787,0.733
"COM_WBSM_AncSPLRada_UBSM_AncSPLWeightedJiangConrath",0.753,0.782,0.767,0.737,0.67,0.702,0.752,0.703,0.727,0.732
"bio_embedding_extrinsic",0.752,0.725,0.738,0.756,0.673,0.712,0.736,0.729,0.732,0.727
"BioNLP2016_PubMed.shuffle.win.30",0.745,0.751,0.748,0.714,0.609,0.657,0.742,0.81,0.774,0.727
"PubMed.and.PMC.w2v",0.713,0.706,0.709,0.754,0.641,0.693,0.744,0.803,0.773,0.725
"PubMed_CBOW",0.675,0.686,0.681,0.746,0.647,0.693,0.697,0.768,0.731,0.701
"UBSM_AncSPLCosineNormWeightedJiangConrath",0.734,0.772,0.752,0.698,0.625,0.659,0.711,0.674,0.692,0.701
"PubMed_Glove",0.671,0.678,0.674,0.74,0.643,0.688,0.732,0.729,0.731,0.698
"BioNLP2016_PubMed.shuffle.win.2",0.697,0.693,0.695,0.699,0.594,0.642,0.691,0.759,0.724,0.687
"bioconceptvec_word2vec_cbow",0.67,0.655,0.662,0.746,0.65,0.695,0.659,0.714,0.685,0.681
"oubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.687,0.729,0.707,0.707,0.583,0.639,0.67,0.694,0.682,0.676
"ncbi_bert_pubmed_uncased_l.12_h.768_a.12_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.682,0.668,0.675,0.679,0.565,0.617,0.668,0.719,0.693,0.662
"USE",0.666,0.669,0.668,0.679,0.606,0.64,0.663,0.684,0.674,0.66
"UBSM_AncSPLWeightedJiangConrath",0.615,0.647,0.631,0.699,0.638,0.667,0.709,0.646,0.676,0.658
"biobert_v1.1_pubmed_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.668,0.647,0.657,0.712,0.616,0.661,0.643,0.663,0.653,0.657
"scibert_scivocab_uncased_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.653,0.616,0.634,0.727,0.643,0.683,0.604,0.682,0.641,0.652
"ncbi_bert_pubmed_uncased_l.24_h.1024_a.16_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0.688,0.712,0.7,0.636,0.588,0.611,0.609,0.674,0.64,0.65
"pubmedbert.base.uncased.abstract.fulltext_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.66,0.651,0.655,0.712,0.59,0.645,0.596,0.674,0.633,0.644
"biobert_v1.0_pmc_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0.664,0.663,0.664,0.674,0.581,0.624,0.601,0.647,0.623,0.637
"bioconceptvec_glove",0.547,0.585,0.565,0.72,0.648,0.682,0.624,0.694,0.657,0.635
"biobert_v1.0_pubmed_pmc_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0.616,0.609,0.612,0.647,0.561,0.601,0.638,0.663,0.65,0.621
"WBSM_AncSPLCosineNormWeightedJiangConrath",0.571,0.566,0.568,0.705,0.651,0.677,0.637,0.59,0.613,0.619
"UBSM_AncSPLCaiStrategy1",0.544,0.579,0.561,0.686,0.628,0.656,0.642,0.576,0.607,0.608
"biobert_large_v1.1_pubmed_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.557,0.546,0.551,0.695,0.622,0.657,0.579,0.65,0.612,0.607
"biobert_v1.0_pubmed_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0.569,0.567,0.568,0.662,0.576,0.616,0.616,0.642,0.629,0.604
"UBSM_JiangConrath",0.529,0.573,0.55,0.683,0.621,0.65,0.62,0.585,0.602,0.601
"ncbi_bert_pubmed_mimic_uncased_l.12_h.768_a.12_tok.wordpiecetokenizer_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.537,0.536,0.536,0.733,0.624,0.674,0.548,0.553,0.55,0.587
"ncbi_bert_pubmed_mimic_uncased_l.24_h.1024_a.16_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0.56,0.578,0.569,0.675,0.628,0.651,0.487,0.504,0.496,0.572
"Levenshtein",0.529,0.536,0.533,0.61,0.634,0.622,0.498,0.536,0.516,0.557
"WBSM_AncSPLWeightedJiangConrath",0.483,0.549,0.514,0.647,0.614,0.63,0.536,0.516,0.526,0.557
"WBSM_JiangConrath",0.483,0.549,0.514,0.647,0.614,0.63,0.536,0.516,0.526,0.557
"pubmedbert.base.uncased.abstract_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.default_ner.none",0.501,0.524,0.512,0.626,0.531,0.575,0.479,0.645,0.55,0.546
"WBSM_AncSPLCaiStrategy1",0.458,0.542,0.497,0.629,0.601,0.615,0.492,0.459,0.475,0.529
"clinicalbert_tok.wordpiecetokenizer_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.443,0.468,0.455,0.667,0.581,0.621,0.466,0.478,0.472,0.516
"bio.clinicalbert_tok.wordpiecetokenizer_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.404,0.476,0.437,0.657,0.573,0.612,0.441,0.467,0.454,0.501
"bio.dischargesummarybert_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.385,0.425,0.404,0.644,0.556,0.597,0.425,0.478,0.45,0.484
"dischargesummarybert_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.417,0.438,0.427,0.635,0.561,0.596,0.396,0.449,0.421,0.481
"Flair",0.628,0.625,0.626,-0.014,-0.035,-0.02,0.652,0.719,0.684,0.43
"bioconceptvec_fasttext",0.091,0.262,0.135,0.416,0.456,0.435,0.178,0.264,0.212,0.261
