Human;WBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;WBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;WBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_WuPalmerFast_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;WBSM_WuPalmerFast_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;WBSM_WuPalmerFast_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_Lin_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;WBSM_Lin_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;WBSM_Lin_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none
3.5;0.9198662110078;0.9198662110078;0.9309493362512627;0.9198662110078;0.9198662110078;0.9309493362512627;0.9198662110078;0.9198662110078;0.9309493362512627;0.9198662110078;0.9198662110078;0.9309493362512627;0.9198662110078;0.9198662110078;0.9309493362512627;0.9198662110078;0.9198662110078;0.9309493362512627
2.5;0.8141851358686788;0.8141851358686788;0.7814626123529511;0.6052275326688025;0.6052275326688025;0.5879747322073337;0.7534069995734848;0.7534069995734848;0.7211174857632355;0.8495352443610289;0.8495352443610289;0.8128668433623838;0.782237660584798;0.782237660584798;0.748023398280076;0.8380354838526015;0.8380354838526015;0.8107423767590137
3.45;0.9440116087112554;0.9440116087112554;0.914256228850836;0.6735645239877782;0.6735645239877782;0.6521235987467637;0.8886149033452616;0.8886149033452616;0.8533377436519188;0.9662970182054493;0.9662970182054493;0.9339038967071988;0.9198193598227378;0.9198193598227378;0.8947115166358688;0.9652358418113796;0.9652358418113796;0.9369900369657495
4.0;0.9081831013578219;0.9081831013578219;0.9040884376290146;0.8541676720110636;0.8541676720110636;0.8602680757063524;0.9003009021826299;0.9003009021826299;0.8976249474485481;0.9103272550615038;0.9103272550615038;0.9058634948728778;0.9040986340108836;0.9040986340108836;0.900736090302687;0.9098130485440596;0.9098130485440596;0.9054292969971649
3.0;0.7208404927360975;0.7208404927360975;0.672951580898707;0.2773500981126146;0.2773500981126146;0.3464101615137754;0.6025270970247333;0.6025270970247333;0.5759064296468133;0.792047046573269;0.792047046573269;0.7239582330144289;0.6730656457083373;0.6730656457083373;0.6334550956195165;0.7612907834917448;0.7612907834917448;0.7094045491764537
2.0;0.6792534064095894;0.6792534064095894;0.6615492784982775;0.3872983346207417;0.3872983346207417;0.45454545454545453;0.6016808348630672;0.6016808348630672;0.60541744370149;0.7161824188108569;0.7161824188108569;0.6890279440049429;0.634462603788588;0.634462603788588;0.6288799707334239;0.7068669855172826;0.7068669855172826;0.6820131707777021
2.5;0.760466923744853;0.760466923744853;0.8055773507032205;0.6293908122274613;0.6293908122274613;0.7046717400805453;0.7276948988500246;0.7276948988500246;0.7813354327302141;0.7826239601431889;0.7826239601431889;0.8216000395022635;0.7469873717095523;0.7469873717095523;0.7956234877000097;0.7704507538371165;0.7704507538371165;0.812919233154003
3.0;0.7873746956337001;0.7873746956337001;0.7611097068603043;0.5604485383178051;0.5604485383178051;0.5400617248673217;0.7175379094128757;0.7175379094128757;0.6926281040802493;0.8177077728578621;0.8177077728578621;0.7911513901882375;0.7605731551351371;0.7605731551351371;0.7346390777619686;0.8173369356558706;0.8173369356558706;0.7907532020154341
0.0;0.4256901298655892;0.4256901298655892;0.5172050779382256;0.0;0.0;0.24343224778007383;0.2410162878644628;0.2410162878644628;0.3975617236093394;0.4982876226367568;0.4982876226367568;0.5705198130325632;0.265745958409862;0.265745958409862;0.4224131118775629;0.5235841148156304;0.5235841148156304;0.5819275199906273
2.5;0.7650130036518026;0.7650130036518026;0.7837505916918813;0.4767312946227962;0.4767312946227962;0.5222329678670935;0.6698073427078447;0.6698073427078447;0.697375788836256;0.7944777136616165;0.7944777136616165;0.8100311632578449;0.7105172127596996;0.7105172127596996;0.7341627633265535;0.8156347293646939;0.8156347293646939;0.8298414597622148
