"","MTurk771","MTurk287_235","WS353Rel","Rel122","Avg","p-value"
"paragram.ws.emb",0.745,0.699,0.721,0.589,0.689,NA
"glove.emb",0.715,0.724,0.651,0.584,0.669,0.2
"fastext.emb",0.661,0.709,0.681,0.539,0.648,0.062
"paragram.sl.emb",0.712,0.663,0.644,0.56,0.645,0.015
"cf.emb",0.701,0.639,0.645,0.562,0.637,0.008
"cbow.emb",0.672,0.674,0.603,0.56,0.627,0.034
"wordnet.randomwalks.emb",0.672,0.64,0.626,0.521,0.615,0.001
"attract.reppel.emb",0.599,0.606,0.586,0.466,0.564,0.001
"wordnet.ukb.ppv",0.602,0.599,0.488,0.525,0.553,0.017
"en_wordsenses_BN.txt.nasari.unified",0.5,0.434,0.442,0.557,0.483,0.019
"sp.500d.emb",0.513,0.414,0.303,0.405,0.409,0.006
"CosineNormWeightedJiangConrath.Sanchez2011",0.481,0.367,0.02,0.252,0.28,0.013
"CaiStrategy2.Cai",0.491,0.369,0.044,0.193,0.274,0.01
"Zhou.Seco",0.508,0.369,0.031,0.175,0.271,0.012
"PirroSeco.Seco",0.465,0.385,0.049,0.181,0.27,0.009
"CosineNormJiangConrath.Sanchez2011",0.479,0.365,0.037,0.189,0.267,0.01
"JiangConrath.Sanchez2011",0.479,0.365,0.037,0.189,0.267,0.01
"Garla.Sanchez2011",0.479,0.365,0.037,0.189,0.267,0.01
"Taieb2014",0.501,0.337,0.032,0.174,0.261,0.01
"Meng2012.Seco",0.479,0.339,0.033,0.18,0.257,0.009
"FaITH.Seco",0.479,0.339,0.033,0.18,0.257,0.009
"Lin.Seco",0.479,0.339,0.033,0.18,0.257,0.009
"Meng2014.Seco",0.503,0.331,0.007,0.167,0.252,0.011
"Sanchez2012",0.483,0.302,0.026,0.171,0.245,0.008
"Gao2015Strategy3.CondProbRefHyponyms",0.486,0.303,0.004,0.181,0.244,0.01
"Mubaid",0.492,0.311,0.003,0.167,0.243,0.01
"Li2003Strategy3",0.49,0.311,-0.002,0.156,0.239,0.01
"PedersenPath",0.49,0.311,-0.002,0.156,0.239,0.01
"LeacockChodorow",0.49,0.311,-0.002,0.156,0.239,0.01
"Rada",0.49,0.311,-0.002,0.156,0.239,0.01
"Resnik.CondProbRefLeavesSubsumersRatio",0.366,0.333,0.041,0.184,0.231,0.004
"WuPalmerFast",0.448,0.28,0.03,0.159,0.229,0.006
