"","MC28","RG65","PSfull","Agirre201","SimLex665","Avg","p-value"
"attract.reppel.emb",0.837,0.84,0.893,0.72,0.691,0.796,NA
"CaiStrategy2.Cai",0.858,0.872,0.901,0.687,0.608,0.785,0.32
"CosineNormWeightedJiangConrath.Sanchez2011",0.871,0.877,0.885,0.695,0.592,0.784,0.32
"Zhou.Seco",0.854,0.873,0.895,0.672,0.624,0.784,0.27
"Taieb2014",0.825,0.867,0.907,0.708,0.609,0.783,0.26
"CosineNormJiangConrath.Sanchez2011",0.848,0.875,0.9,0.682,0.594,0.78,0.26
"paragram.ws.emb",0.796,0.81,0.849,0.765,0.662,0.776,0.15
"PirroSeco.Seco",0.846,0.862,0.897,0.679,0.597,0.776,0.2
"Gao2015Strategy3.CondProbRefHyponyms",0.835,0.865,0.891,0.674,0.614,0.776,0.16
"cf.emb",0.806,0.806,0.866,0.701,0.697,0.775,0.022
"Meng2012.Seco",0.814,0.86,0.903,0.692,0.605,0.775,0.16
"FaITH.Seco",0.809,0.856,0.904,0.692,0.605,0.773,0.14
"paragram.sl.emb",0.781,0.798,0.854,0.748,0.682,0.773,0.098
"Lin.Seco",0.824,0.861,0.894,0.68,0.601,0.772,0.14
"Li2003Strategy3",0.836,0.862,0.885,0.664,0.606,0.771,0.13
"JiangConrath.Sanchez2011",0.859,0.862,0.876,0.652,0.584,0.767,0.16
"LeacockChodorow",0.826,0.851,0.871,0.647,0.605,0.76,0.06
"wordnet.randomwalks.emb",0.835,0.797,0.843,0.773,0.543,0.758,0.16
"Sanchez2012",0.806,0.848,0.87,0.669,0.594,0.757,0.044
"Meng2014.Seco",0.811,0.849,0.837,0.613,0.571,0.736,0.033
"Mubaid",0.791,0.807,0.853,0.645,0.576,0.734,0.008
"Resnik.CondProbRefLeavesSubsumersRatio",0.793,0.823,0.874,0.669,0.512,0.734,0.054
"fastext.emb",0.842,0.793,0.818,0.775,0.411,0.728,0.15
"glove.emb",0.845,0.77,0.759,0.797,0.467,0.728,0.13
"en_wordsenses_BN.txt.nasari.unified",0.831,0.791,0.812,0.708,0.489,0.726,0.06
"cbow.emb",0.796,0.772,0.786,0.763,0.461,0.716,0.073
"PedersenPath",0.758,0.781,0.84,0.605,0.551,0.707,0.003
"Garla.Sanchez2011",0.72,0.769,0.847,0.572,0.512,0.684,0.005
"Rada",0.729,0.771,0.751,0.558,0.565,0.675,0.001
"WuPalmerFast",0.664,0.72,0.715,0.568,0.473,0.628,0
"sp.500d.emb",0.606,0.69,0.709,0.454,0.435,0.579,0
"wordnet.ukb.ppv",0.542,0.548,0.629,0.375,0.361,0.491,0
